lon,lat,FIV3(0.1)-0.02,FIV3(0.1)-0.1,FIV3(1.0)-0.02,FIV3(1.0)-0.1
-122.47733,37.48201,6.263913E+01,3.082101E+01,3.783787E+02,1.775858E+02
-122.47733,37.49101,6.218742E+01,3.065884E+01,3.494299E+02,1.754752E+02
-122.47733,37.50000,6.055524E+01,3.108258E+01,3.809882E+02,1.763757E+02
-122.46622,37.00537,2.722574E+01,1.568817E+01,1.446969E+02,8.784349E+01
-122.46621,37.01437,2.708797E+01,1.671394E+01,1.540131E+02,8.877618E+01
-122.46621,37.02336,2.977164E+01,1.702519E+01,1.665018E+02,9.359903E+01
-122.46620,37.03235,2.836524E+01,1.679481E+01,1.515605E+02,8.615607E+01
-122.46620,37.04135,2.838476E+01,1.705308E+01,1.567167E+02,9.017811E+01
-122.46620,37.05034,3.058204E+01,1.812757E+01,1.756911E+02,9.300799E+01
-122.46619,37.05933,2.972913E+01,1.719688E+01,1.497724E+02,8.931107E+01
-122.46619,37.06833,2.969050E+01,1.787118E+01,1.757175E+02,1.009318E+02
-122.46618,37.07732,3.264102E+01,1.801875E+01,1.723475E+02,9.690392E+01
-122.46618,37.08631,3.313575E+01,1.894040E+01,1.804309E+02,9.535630E+01
-122.46618,37.09531,3.155252E+01,1.927398E+01,1.753063E+02,9.475954E+01
-122.46617,37.10430,3.299178E+01,1.807725E+01,1.676212E+02,9.319612E+01
-122.46617,37.11329,3.113125E+01,1.865858E+01,1.677696E+02,9.648576E+01
-122.46616,37.12228,3.523326E+01,1.993973E+01,1.739051E+02,1.003909E+02
-122.46616,37.13128,3.534581E+01,2.038884E+01,1.789572E+02,9.906682E+01
-122.46616,37.14027,3.311266E+01,1.927012E+01,1.885200E+02,9.955091E+01
-122.46615,37.14926,3.405192E+01,1.948902E+01,1.796774E+02,9.606271E+01
-122.46615,37.15826,3.398059E+01,1.930461E+01,1.953476E+02,1.075468E+02
-122.46614,37.16725,3.591308E+01,2.070001E+01,1.992078E+02,1.070853E+02
-122.46614,37.17624,3.596301E+01,2.017786E+01,1.934441E+02,1.056190E+02
-122.46614,37.18524,3.203144E+01,1.925358E+01,2.096130E+02,1.155675E+02
-122.46613,37.19423,3.519409E+01,2.011104E+01,2.037974E+02,1.050873E+02
-122.46613,37.20322,3.576203E+01,1.965943E+01,2.134777E+02,1.094525E+02
-122.46612,37.21222,3.685475E+01,2.066303E+01,1.876814E+02,1.058042E+02
-122.46612,37.22121,3.651261E+01,2.018584E+01,2.022520E+02,1.090308E+02
-122.46611,37.23020,3.628852E+01,2.149487E+01,1.962569E+02,1.068916E+02
-122.46611,37.23920,3.757076E+01,2.081627E+01,2.063955E+02,1.119774E+02
-122.46611,37.24819,3.846649E+01,2.145835E+01,2.124729E+02,1.150604E+02
-122.46610,37.25718,3.753226E+01,2.128734E+01,2.361013E+02,1.183819E+02
-122.46610,37.26618,3.985190E+01,2.226305E+01,2.177067E+02,1.166679E+02
-122.46609,37.27517,4.139933E+01,2.183015E+01,2.473714E+02,1.213587E+02
-122.46609,37.28416,4.254110E+01,2.296421E+01,2.441987E+02,1.194018E+02
-122.46609,37.29316,4.056083E+01,2.220288E+01,2.387574E+02,1.229447E+02
-122.46608,37.30215,4.646589E+01,2.337642E+01,2.256409E+02,1.264519E+02
-122.46608,37.31114,4.235826E+01,2.385495E+01,2.342571E+02,1.204522E+02
-122.46607,37.32014,4.555666E+01,2.397954E+01,2.389682E+02,1.288651E+02
-122.46607,37.32913,4.722940E+01,2.482588E+01,2.734227E+02,1.277730E+02
-122.46607,37.33812,4.380096E+01,2.426557E+01,2.548985E+02,1.300545E+02
-122.46606,37.34712,4.679297E+01,2.422867E+01,2.659860E+02,1.237292E+02
-122.46606,37.35611,4.793997E+01,2.554961E+01,3.186856E+02,1.397489E+02
-122.46605,37.36510,4.692455E+01,2.537126E+01,2.780197E+02,1.448725E+02
-122.46605,37.37409,4.642709E+01,2.603645E+01,2.966963E+02,1.405415E+02
-122.46605,37.38309,5.396902E+01,2.628044E+01,2.851139E+02,1.375030E+02
-122.46604,37.39208,5.416820E+01,2.852402E+01,3.016081E+02,1.471172E+02
-122.46604,37.40107,5.257911E+01,2.908793E+01,3.005158E+02,1.437198E+02
-122.46603,37.41007,4.780403E+01,2.771367E+01,3.081942E+02,1.587728E+02
-122.46603,37.41906,5.621341E+01,2.864006E+01,3.438264E+02,1.501902E+02
-122.46603,37.42805,5.756544E+01,2.922588E+01,3.145411E+02,1.598886E+02
-122.46602,37.43705,5.698971E+01,3.027335E+01,3.559932E+02,1.612310E+02
-122.46602,37.44604,5.962015E+01,2.975865E+01,3.399572E+02,1.627735E+02
-122.46601,37.45503,5.639275E+01,2.916338E+01,3.514264E+02,1.671616E+02
-122.46601,37.46403,6.333504E+01,3.089103E+01,3.657465E+02,1.741120E+02
-122.46601,37.47302,5.971756E+01,3.054802E+01,3.528158E+02,1.782091E+02
-122.46600,37.48201,6.062658E+01,3.238521E+01,3.380651E+02,1.705414E+02
-122.46600,37.49101,6.041511E+01,3.261141E+01,3.982505E+02,1.838975E+02
-122.46599,37.50000,5.910359E+01,3.177616E+01,3.404042E+02,1.788485E+02
-122.45495,37.00537,3.000468E+01,1.746244E+01,1.664836E+02,9.177212E+01
-122.45495,37.01437,2.702923E+01,1.653488E+01,1.617998E+02,8.850237E+01
-122.45494,37.02336,2.863379E+01,1.756538E+01,1.665208E+02,9.560847E+01
-122.45494,37.03235,3.104574E+01,1.756394E+01,1.709898E+02,9.217056E+01
-122.45493,37.04135,2.961735E+01,1.783804E+01,1.665259E+02,9.551936E+01
-122.45493,37.05034,3.002975E+01,1.763328E+01,1.679953E+02,9.756652E+01
-122.45492,37.05933,3.076080E+01,1.873321E+01,1.517244E+02,9.052361E+01
-122.45492,37.06833,3.127566E+01,1.837514E+01,1.651612E+02,9.491205E+01
-122.45491,37.07732,3.151894E+01,1.847705E+01,1.729371E+02,9.391628E+01
-122.45491,37.08631,3.179775E+01,1.901069E+01,1.683927E+02,1.010786E+02
-122.45490,37.09531,3.214457E+01,1.906102E+01,1.733512E+02,9.453509E+01
-122.45490,37.10430,3.255118E+01,1.835583E+01,1.854582E+02,9.958359E+01
-122.45489,37.11329,3.271052E+01,1.927622E+01,1.763301E+02,1.035904E+02
-122.45488,37.12228,3.267667E+01,1.907335E+01,1.871015E+02,1.003046E+02
-122.45488,37.13128,3.184218E+01,1.905801E+01,1.865930E+02,1.000926E+02
-122.45487,37.14027,3.407843E+01,1.931056E+01,1.883996E+02,1.065034E+02
-122.45487,37.14926,3.400184E+01,1.932033E+01,1.749680E+02,1.014551E+02
-122.45486,37.15826,3.583172E+01,2.010314E+01,1.948091E+02,1.040705E+02
-122.45486,37.16725,3.709008E+01,2.033102E+01,1.879474E+02,1.064633E+02
-122.45485,37.17624,3.742995E+01,2.059278E+01,1.962569E+02,1.048710E+02
-122.45485,37.18524,3.394848E+01,2.017786E+01,1.922108E+02,1.098474E+02
-122.45484,37.19423,3.648719E+01,2.092279E+01,1.980877E+02,1.075677E+02
-122.45484,37.20322,3.809666E+01,2.107889E+01,2.153715E+02,1.102801E+02
-122.45483,37.21222,3.671559E+01,2.159242E+01,2.085454E+02,1.094715E+02
-122.45483,37.22121,3.866063E+01,2.123592E+01,2.075709E+02,1.107288E+02
-122.45482,37.23020,3.874742E+01,2.146832E+01,2.094591E+02,1.136100E+02
-122.45481,37.23920,4.016582E+01,2.204633E+01,2.173030E+02,1.124410E+02
-122.45481,37.24819,4.233578E+01,2.260774E+01,2.412720E+02,1.198448E+02
-122.45480,37.25718,4.162300E+01,2.293697E+01,2.380542E+02,1.150289E+02
-122.45480,37.26618,4.008663E+01,2.249047E+01,2.207765E+02,1.157761E+02
-122.45479,37.27517,4.282798E+01,2.285159E+01,2.287565E+02,1.256407E+02
-122.45479,37.28416,4.657244E+01,2.403613E+01,2.527475E+02,1.270657E+02
-122.45478,37.29316,4.413422E+01,2.353934E+01,2.428993E+02,1.257674E+02
-122.45478,37.30215,4.662037E+01,2.386000E+01,2.599436E+02,1.229885E+02
